,index,TimeFrame,Location Id,Dwelling Type,Number Of Beds,Median Rent,Total Bonds
243,2699,2026-04-01,132100,ALL,ALL,738.0,48
244,2700,2026-04-01,132200,ALL,ALL,560.0,27
245,2701,2026-04-01,132300,ALL,ALL,580.0,27
246,2702,2026-04-01,132400,ALL,ALL,550.0,126
247,2703,2026-04-01,132500,ALL,ALL,720.0,15
248,2704,2026-04-01,132600,ALL,ALL,650.0,39
249,2705,2026-04-01,132700,ALL,ALL,490.0,144
250,2706,2026-04-01,132800,ALL,ALL,650.0,33
251,2707,2026-04-01,132900,ALL,ALL,648.0,39
252,2708,2026-04-01,133000,ALL,ALL,800.0,24
253,2709,2026-04-01,133100,ALL,ALL,588.0,84
254,2710,2026-04-01,133200,ALL,ALL,510.0,69
255,2711,2026-04-01,133300,ALL,ALL,680.0,63
256,2712,2026-04-01,133400,ALL,ALL,450.0,147
257,2713,2026-04-01,133500,ALL,ALL,650.0,42
258,2714,2026-04-01,133600,ALL,ALL,650.0,39
259,2715,2026-04-01,133700,ALL,ALL,510.0,75
260,2716,2026-04-01,133800,ALL,ALL,450.0,57
261,2717,2026-04-01,133900,ALL,ALL,550.0,12
262,2718,2026-04-01,134000,ALL,ALL,695.0,12
263,2719,2026-04-01,134100,ALL,ALL,440.0,114
264,2720,2026-04-01,134200,ALL,ALL,600.0,39
265,2721,2026-04-01,134300,ALL,ALL,470.0,90
266,2722,2026-04-01,134400,ALL,ALL,675.0,51
267,2723,2026-04-01,134500,ALL,ALL,480.0,135
268,2724,2026-04-01,134600,ALL,ALL,650.0,9
269,2725,2026-04-01,134700,ALL,ALL,735.0,12
270,2726,2026-04-01,134800,ALL,ALL,539.0,72
271,2727,2026-04-01,134900,ALL,ALL,638.0,18
272,2728,2026-04-01,135000,ALL,ALL,660.0,24
273,2729,2026-04-01,135100,ALL,ALL,400.0,102
274,2730,2026-04-01,135200,ALL,ALL,780.0,27
275,2731,2026-04-01,135300,ALL,ALL,480.0,108
276,2732,2026-04-01,135400,ALL,ALL,660.0,24
277,2733,2026-04-01,135500,ALL,ALL,650.0,48
278,2734,2026-04-01,135600,ALL,ALL,570.0,54
279,2735,2026-04-01,135700,ALL,ALL,389.0,72
280,2736,2026-04-01,135800,ALL,ALL,650.0,42
281,2737,2026-04-01,135900,ALL,ALL,472.0,102
282,2738,2026-04-01,136000,ALL,ALL,600.0,126
283,2739,2026-04-01,136100,ALL,ALL,300.0,69
284,2740,2026-04-01,136200,ALL,ALL,698.0,24
285,2741,2026-04-01,136300,ALL,ALL,618.0,36
286,2742,2026-04-01,136400,ALL,ALL,720.0,66
287,2743,2026-04-01,136500,ALL,ALL,650.0,42
288,2744,2026-04-01,136600,ALL,ALL,637.0,48
289,2745,2026-04-01,136700,ALL,ALL,775.0,15
290,2746,2026-04-01,136800,ALL,ALL,630.0,15
291,2747,2026-04-01,136900,ALL,ALL,543.0,30
292,2748,2026-04-01,137000,ALL,ALL,603.0,24
293,2749,2026-04-01,137100,ALL,ALL,595.0,21
294,2750,2026-04-01,137200,ALL,ALL,725.0,21
295,2751,2026-04-01,137300,ALL,ALL,690.0,9
296,2752,2026-04-01,137400,ALL,ALL,783.0,30
297,2753,2026-04-01,137500,ALL,ALL,713.0,12
298,2754,2026-04-01,137600,ALL,ALL,570.0,33
299,2755,2026-04-01,137700,ALL,ALL,695.0,21
300,2756,2026-04-01,137800,ALL,ALL,480.0,45
301,2757,2026-04-01,137900,ALL,ALL,593.0,12
302,2758,2026-04-01,138000,ALL,ALL,670.0,9
303,2759,2026-04-01,138100,ALL,ALL,568.0,24
304,2760,2026-04-01,138200,ALL,ALL,570.0,15
